Pas;ECinetica;EPotencial;ETotal;Temperatura
350;226.642;-157.608;-134.943;0,354128
351;228.063;-157.734;-134.928;0,356348
352;228.998;-157.827;-134.928;0,35781
353;229.512;-157.883;-134.932;0,358612
354;229.817;-157.906;-134.924;0,359089
355;230.242;-157.946;-134.922;0,359752
356;23.116;-158.019;-134.903;0,361188
357;232.909;-158.187;-134.896;0,36392
358;235.687;-158,46;-134.891;0,368262
359;239.503;-158.853;-134.903;0,374224
360;244.164;-159.327;-134.911;0,381506
361;249.326;-159.851;-134.919;0,389572
362;254.583;-160.379;-134.921;0,397786
363;259.543;-160.872;-134.917;0,405537
364;263.879;-161.307;-134.919;0,412312
365;267.342;-161.654;-134.919;0,417722
366;269.756;-161.901;-134.925;0,421494
367;271.015;-162.021;-134,92;0,42346
368;271.082;-162.049;-134.941;0,423565
369;269.999;-161.935;-134.935;0,421874
370;267.893;-161.728;-134.939;0,418583
371;264.971;-161.456;-134.959;0,414017
372;261.504;-161.102;-134.951;0,408601
373;257.802;-160.724;-134.944;0,402815
374;254.175;-160.343;-134.925;0,397148
375;250.901;-160.014;-134.924;0,392033
376;248.196;-159.737;-134.918;0,387806
377;246.197;-159.526;-134.906;0,384683
378;244.956;-159.413;-134.917;0,382744
379;244.441;-159.357;-134.913;0,381939
380;244.563;-159.359;-134.903;0,382129
381;245.198;-159.418;-134.898;0,383122
382;24.622;-159.521;-134.899;0,384718
383;247.522;-159,64;-134.888;0,386753
384;249.042;-159.792;-134.888;0,389129
385;250.769;-159.959;-134.882;0,391827
386;252.747;-160.162;-134.887;0,394917
387;255.065;-160.387;-134.881;0,398539
388;257.831;-160.663;-134,88;0,402862
389;261.141;-160.989;-134.874;0,408032
390;265.024;-161.383;-134,88;0,4141
391;269.414;-161.828;-134.887;0,420959
392;274.114;-162.306;-134.895;0,428303
393;278.805;-162.789;-134.908;0,435633
394;283.073;-163.208;-134,9;0,442301
395;286.457;-163.549;-134.903;0,447589
396;288.509;-163.757;-134.906;0,450795
397;288.838;-163.803;-134.919;0,451309
398;287.156;-163.641;-134.926;0,448681
399;28.331;-163.252;-134.921;0,442672
400;277.318;-162.646;-134.914;0,433309
401;269.388;-161,84;-134.901;0,420919
402;259.943;-160.892;-134.897;0,40616
403;249.606;-159.864;-134.903;0,39001
404;23.916;-158.814;-134.898;0,373687
405;229.455;-157,85;-134.904;0,358524
406;221.295;-157.024;-134.895;0,345773
407;21,53;-156.423;-134.893;0,336406
408;211.815;-156.068;-134.887;0,330961
409;210.866;-155.981;-134.894;0,329479
410;212.187;-156.116;-134.897;0,331542
411;215.294;-156.425;-134.895;0,336397
412;219.593;-156.858;-134.899;0,343114
413;224.479;-157.323;-134.875;0,350748
414;229.407;-157.834;-134.894;0,358448
415;233.939;-158.295;-134.901;0,36553
416;23.777;-158.679;-134.902;0,371516
417;240.734;-158.975;-134.902;0,376148
418;242.806;-159.192;-134.912;0,379384
419;244.091;-159.336;-134.927;0,381392
420;244.804;-159.405;-134.925;0,382506
421;245.229;-159.446;-134.923;0,38317
422;245.656;-159.493;-134.927;0,383838
423;246.295;-159.562;-134.933;0,384836
424;247.207;-159,66;-134.939;0,38626
425;248.271;-159.768;-134.941;0,387924
426;24.923;-159.872;-134.949;0,389423
427;249.782;-159.918;-134,94;0,390285
428;24.971;-159.917;-134.946;0,390172
429;248.987;-159.849;-134,95;0,389042
430;247.811;-159.729;-134.948;0,387205
431;246.551;-159,59;-134.934;0,385235
432;245.602;-159.482;-134.922;0,383753
433;24.524;-159.451;-134.927;0,383188
434;245.528;-159.475;-134.922;0,383637
435;246.334;-159.579;-134.946;0,384897
436;247.436;-159.696;-134.952;0,386618
437;248.628;-159.821;-134.958;0,388482
438;249.783;-159.931;-134.953;0,390285
439;250.828;-160,03;-134.947;0,391919
440;251.704;-160.107;-134.937;0,393288
441;252.317;-160.175;-134.943;0,394245
442;252.538;-160.192;-134.938;0,39459
443;252.231;-160.167;-134.944;0,394111
444;251.293;-160.079;-134,95;0,392646
445;249.679;-159.917;-134,95;0,390123
446;247.407;-159.695;-134.955;0,386574
447;24.455;-159.409;-134.954;0,38211
448;241.206;-159,08;-134.959;0,376885
449;237.487;-158.718;-134.969;0,371074
450;233.504;-158.325;-134.974;0,36485
451;229.366;-157.905;-134.968;0,358384
452;225.194;-157.492;-134.973;0,351865
453;221.138;-157.091;-134.977;0,345528
454;217.402;-156.716;-134.976;0,339691
455;214.258;-156.394;-134.968;0,334778
456;212.038;-156,17;-134.966;0,33131
457;211.095;-156.068;-134.958;0,329837
458;211.726;-156.135;-134.963;0,330822
459;214.085;-156.371;-134.963;0,334508
460;218.121;-156.776;-134.964;0,340814
461;223.565;-157.334;-134.978;0,34932
462;229.985;-157.985;-134.986;0,359352
463;236.886;-158.678;-134.989;0,370134
464;243.797;-159,36;-134,98;0,380933
465;250.337;-160.004;-134.971;0,391151
466;256.229;-160.594;-134.971;0,400358
467;261.294;-161.107;-134.977;0,408272
468;26.542;-161.536;-134.994;0,414718
469;268.526;-161.841;-134.989;0,419572
470;270.543;-162.044;-134.989;0,422724
471;271.404;-162,13;-134,99;0,424069
472;271.055;-162.085;-134.979;0,423523
473;26.948;-161.933;-134.984;0,421063
474;266.746;-161.669;-134.995;0,41679
475;26.305;-161.287;-134.982;0,411016
476;258.762;-160.855;-134.979;0,404315
477;254.425;-160.417;-134.974;0,397539
478;250.699;-160.029;-134.959;0,391717
479;248.215;-159.784;-134.962;0,387835
480;247.408;-159.708;-134.967;0,386575
481;248.386;-159.796;-134.958;0,388103
482;250.909;-160.041;-134,95;0,392045
483;254.494;-160.408;-134.959;0,397646
484;258.563;-160.824;-134.968;0,404005
485;262.584;-161.228;-134,97;0,410288
486;266.141;-161.591;-134.977;0,415845
487;268.958;-161.879;-134.983;0,420247
488;270.882;-162.071;-134.983;0,423253
489;271.853;-162.151;-134.966;0,424771
490;271.895;-162.155;-134.965;0,424835
491;271.099;-162.074;-134.964;0,423592
492;269.633;-161.932;-134.968;0,421301
493;26.774;-161.735;-134.961;0,418343
494;265.746;-161.539;-134.964;0,415229
495;264.045;-161.371;-134.967;0,412571
496;263.047;-161.269;-134.965;0,41101
497;263.104;-161.279;-134.969;0,411101
498;264.427;-161.411;-134.969;0,413168
499;267.013;-161.677;-134.976;0,417208
500;270.641;-162.037;-134.973;0,422877
501;274.932;-162.463;-134,97;0,429581
502;279.451;-162.917;-134.972;0,436642
503;283.807;-163.355;-134.974;0,443448
504;287.717;-163.735;-134.964;0,449558
505;291.032;-164.056;-134.952;0,454738
506;293.728;-164.308;-134.935;0,45895
507;295.872;-164.532;-134.945;0,4623
508;297.582;-164.702;-134.944;0,464972
509;298.994;-164.848;-134.949;0,467177
510;300.223;-164.965;-134.942;0,469099
511;301.352;-165.072;-134.937;0,470862
512;302.414;-165.178;-134.937;0,472522
513;303.401;-165.277;-134.937;0,474064
514;304.261;-165.369;-134.943;0,475408
515;304.918;-165.435;-134.944;0,476435
516;305.277;-165.477;-134,95;0,476995
517;305.239;-165,48;-134.956;0,476936
518;304.712;-165.422;-134.951;0,476113
519;303.619;-165.308;-134.946;0,474404
520;301.901;-165.131;-134,94;0,47172
521;299.531;-164.888;-134.935;0,468017
522;296.515;-164.597;-134.946;0,463304
523;292.896;-164,24;-134.951;0,45765
524;288.754;-163,82;-134.945;0,451178
525;28.421;-163.365;-134.944;0,444078
526;279.421;-162,89;-134.948;0,436595
527;274.572;-162.415;-134.958;0,429018
528;269.862;-161.937;-134.951;0,421659
529;265.489;-161.499;-134,95;0,414826
530;261.628;-161.101;-134.938;0,408793
531;258.412;-160.779;-134.938;0,403768
532;255.917;-160.535;-134.943;0,39987
533;254.158;-160,36;-134.944;0,397122
534;253.094;-160.254;-134.944;0,395459
535;252.633;-160.214;-134.951;0,394739
536;252.658;-160.234;-134.968;0,394779
537;253.038;-160.273;-134.969;0,395372
538;253.639;-160.339;-134.975;0,396311
539;25.434;-160.404;-134,97;0,397407
540;255.035;-160.474;-134.971;0,398492
541;25.563;-160.534;-134.971;0,399422
542;256.051;-160.571;-134.966;0,40008
543;25.624;-160.585;-134.961;0,400375
544;256.155;-160.571;-134.956;0,400242
545;255.772;-160.528;-134,95;0,399643
546;255.082;-160.448;-134,94;0,398565
547;254.093;-160.365;-134.956;0,39702
548;252.828;-160.238;-134.956;0,395044
549;25.133;-160.088;-134.955;0,392703
550;249.662;-159.927;-134,96;0,390096
551;24.791;-159.756;-134.965;0,387359
552;246.176;-159.582;-134.965;0,38465
553;244.573;-159.421;-134.964;0,382146
554;243.217;-159.285;-134.963;0,380026
555;242.208;-159.184;-134.963;0,37845
556;24.163;-159,12;-134.957;0,377546
557;241.533;-159.111;-134.957;0,377396
558;241.939;-159.157;-134.963;0,378029
559;242.827;-159.257;-134.974;0,379417
560;244.136;-159.394;-134,98;0,381463
561;245.762;-159.558;-134.981;0,384002
562;247.556;-159.733;-134.977;0,386806
563;249.335;-159.907;-134.973;0,389586
564;250.889;-160,08;-134.991;0,392013
565;251.998;-160.198;-134.998;0,393746
566;252.457;-160.262;-135.016;0,394465
567;252.103;-160.227;-135.017;0,393911
568;250.832;-160,1;-135.017;0,391925
569;248.625;-159.884;-135.022;0,388476
570;245.557;-159.566;-135,01;0,383683
571;24,18;-159.199;-135.019;0,377813
572;237.607;-158.778;-135.017;0,371262
573;233.295;-158.339;-135,01;0,364524
574;229.215;-157.924;-135.002;0,358149
575;225.711;-157.582;-135.011;0,352674
576;223.081;-157.318;-135,01;0,348563
577;221.531;-157.162;-135.009;0,346142
578;221.155;-157,12;-135.004;0,345554
579;221.913;-157.207;-135.016;0,346739
580;223.633;-157,37;-135.007;0,349426
581;226.029;-157.601;-134.998;0,353171
582;228.743;-157.875;-135.001;0,357411
583;231.389;-158.142;-135.003;0,361545
584;233.608;-158.371;-135,01;0,365013
585;23.512;-158.524;-135.012;0,367375
586;235.745;-158.581;-135.006;0,368352
587;235.429;-158.549;-135.006;0,367858
588;234.242;-158.423;-134.999;0,366003
589;232.363;-158.228;-134.992;0,363067
590;230.054;-157,99;-134.984;0,35946
591;227.628;-157.751;-134.988;0,355668
592;225.407;-157.526;-134.986;0,352198
593;223.686;-157.353;-134.984;0,34951
594;222.703;-157.243;-134.972;0,347974
595;222.611;-157.244;-134.983;0,34783
596;223.471;-157.325;-134.978;0,349174
597;225.251;-157.493;-134.968;0,351955
598;227.845;-157.764;-134,98;0,356008
599;231.091;-158.073;-134.964;0,361079
600;234.794;-158,44;-134,96;0,366866
601;238.749;-158.831;-134.956;0,373045
602;242.747;-159.232;-134.957;0,379291
603;246.593;-159.612;-134.953;0,385301
604;250.115;-159.959;-134.948;0,390805
605;25.317;-160.255;-134.938;0,395579
606;255.651;-160.503;-134.938;0,399455
607;257.495;-160.687;-134.938;0,402336
608;258.685;-160.806;-134.938;0,404195
609;259.252;-160.857;-134.932;0,405081
610;259.273;-160.869;-134.942;0,405115
611;258.868;-160.839;-134.952;0,404481
612;258.185;-160.764;-134.945;0,403414
613;257.391;-160.711;-134.972;0,402174
614;25.665;-160.636;-134.971;0,401015
615;256.101;-160.575;-134.965;0,400157
616;255.844;-160.543;-134.959;0,399756
617;255.932;-160.552;-134.959;0,399894
618;256.368;-160.596;-134.959;0,400575
619;257.117;-160.671;-134.959;0,401746
620;258.124;-160.761;-134.949;0,403319
621;259.327;-160.882;-134.949;0,405198
622;260.661;-161.026;-134,96;0,407283
623;262.069;-161.167;-134,96;0,409483
624;263.498;-161.311;-134.961;0,411716
625;264.901;-161.462;-134.972;0,413908
626;266.233;-161.595;-134.972;0,415989
627;267.457;-161.718;-134.972;0,417901
628;268.547;-161.838;-134.983;0,419605
629;269.503;-161.933;-134.983;0,421098
630;270.353;-162.012;-134.977;0,422427
631;271.165;-162.082;-134.965;0,423695
632;272.037;-162.168;-134.965;0,425057
633;27.309;-162.267;-134.958;0,426704
634;274.449;-162.403;-134.958;0,428827
635;276.206;-162.584;-134.963;0,431572
636;278.397;-162.781;-134.941;0,434995
637;280.975;-163,04;-134.942;0,439023
638;28,38;-163.329;-134.949;0,443437
639;286.657;-163.622;-134.957;0,447902
640;289.284;-163.876;-134.948;0,452006
641;291.418;-164.096;-134.955;0,455341
642;29.285;-164.235;-134,95;0,457579
643;293.471;-164.302;-134.955;0,458549
644;293.301;-164.285;-134.954;0,458283
645;29.249;-164.196;-134.947;0,457016
646;291.289;-164.069;-134,94;0,455139
647;289.985;-163.937;-134.938;0,453101
648;28.883;-163,82;-134.937;0,451297
649;287.974;-163.724;-134.926;0,44996
650;287.431;-163.659;-134.916;0,449112
651;287.095;-163.627;-134.917;0,448586
652;286.778;-163.596;-134.919;0,448091
653;286.272;-163.558;-134.931;0,4473
654;28.539;-163.459;-134.921;0,445921
655;283.998;-163.321;-134.921;0,443747
656;282.044;-163,13;-134.926;0,440693
657;279.561;-162.876;-134,92;0,436814
658;276.674;-162.575;-134.907;0,432303
659;273.585;-162.264;-134.906;0,427476
660;270.554;-161.965;-134.909;0,422741
